C:\Users\tribo2023 1.4 s1.mnt
2023/07/28;22:36:43

Name;Value;Unit;Context;Frame Number;Studiable name;
Maksymalna głębokość;2.142333906;µm;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;306.853641;µm²;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.03173828009;µm;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.1110839856;µm²;;27;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;28;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.666259705;µm;;29;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;293.3172639;µm²;;29;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.09521484026;µm;;29;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.4998779351;µm²;;29;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;30;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.475585847;µm;;31;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;270.8148223;µm²;;31;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2697753807;µm;;31;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;3.142089878;µm²;;31;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;32;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.761474545;µm;;33;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;277.487796;µm²;;33;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.01586914004;µm;;33;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.06347656319;µm²;;33;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;34;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.364501866;µm;;35;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;293.7536653;µm²;;35;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;35;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;1.356811538;µm²;;35;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;36;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.015380785;µm;;37;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;316.0577427;µm²;;37;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.01586914004;µm;;37;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.0158691408;µm²;;37;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;38;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.666259705;µm;;39;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;274.7821075;µm²;;39;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;39;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;1.047363293;µm²;;39;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Długość;1.089500052;mm;;40;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.824951105;µm;;41;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Pole otworu;298.3001741;µm²;;41;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1586914004;µm;;41;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
Obszar szczytu;0.9204101662;µm²;;41;Tribo2023_1_4_s11 > Profil utworzony z przecięcia;
