C:\Users\mariu\Desktop\Nauka\Badania\Tribo 2023\profile 3D\tribo2023 3.5 s1.mnt
2023/07/31;11:13:08

Name;Value;Unit;Context;Frame Number;Studiable name;
Długość;1.089000052;mm;;26;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.444091744;µm;;27;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;232.2686793;µm²;;27;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;27;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;1.428222672;µm²;;27;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;28;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.713867125;µm;;29;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;250.5975369;µm²;;29;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;29;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;29;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;30;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.348876904;µm;;31;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;235.617068;µm²;;31;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;31;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.2221679712;µm²;;31;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;32;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.427978427;µm;;33;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;272.0050078;µm²;;33;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1110839803;µm;;33;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.856933603;µm²;;33;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;34;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.824951105;µm;;35;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;288.1359894;µm²;;35;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1904296805;µm;;35;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;1.356811538;µm²;;35;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;36;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.475830024;µm;;37;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;271.1639434;µm²;;37;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1110839803;µm;;37;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.4760742239;µm²;;37;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;38;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.062988206;µm;;39;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;295.3167757;µm²;;39;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.07934570021;µm;;39;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0.2856445343;µm²;;39;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Długość;1.089000052;mm;;40;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.555175724;µm;;41;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Pole otworu;262.0233183;µm²;;41;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;41;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;41;Tribo2023_3_5_s2 > Profil utworzony z przecięcia;
