C:\Users\mariu\Desktop\Nauka\Badania\Tribo 2023\profile 3D\tribo2023 2.5 s1.mnt
2023/07/31;10:26:32

Name;Value;Unit;Context;Frame Number;Studiable name;
Pole otworu;233.4826685;µm²;;23;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1745605405;µm;;23;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.840576203;µm²;;23;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;25;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.824951105;µm;;26;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;246.1541775;µm²;;26;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2221679606;µm;;26;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.59460452;µm²;;26;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;27;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.634521424;µm;;28;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;234.1253687;µm²;;28;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.364990221;µm;;28;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;5.728759828;µm²;;28;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;29;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.729736265;µm;;30;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;255.1043729;µm²;;30;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1745605405;µm;;30;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.7617187582;µm²;;30;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;31;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.634521424;µm;;32;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;233.6254908;µm²;;32;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.3015136608;µm;;32;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;4.37988286;µm²;;32;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;33;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.951904225;µm;;34;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;247.2729519;µm²;;34;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1586914004;µm;;34;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.7934570398;µm²;;34;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;35;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.666259705;µm;;36;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;258.8970975;µm²;;36;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2697753807;µm;;36;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;7.783813561;µm²;;36;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;37;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.920165945;µm;;38;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;278.7890655;µm²;;38;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;38;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;1.126708997;µm²;;38;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;39;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.904296805;µm;;40;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;262.4121122;µm²;;40;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1745605405;µm;;40;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.9045410254;µm²;;40;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;41;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.650390564;µm;;42;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;260.9362821;µm²;;42;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;42;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;1.499633805;µm²;;42;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;43;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.936035085;µm;;44;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;257.7545194;µm²;;44;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;44;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;44;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
