C:\Users\mariu\Desktop\Nauka\Badania\Tribo 2023\profile 3D\tribo2023 2.5 s1.mnt
2023/07/31;10:26:32

Name;Value;Unit;Context;Frame Number;Studiable name;
Długość;1.091500052;mm;;2;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.840820245;µm;;3;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;292.7221711;µm²;;3;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.07934570021;µm;;3;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.4602050831;µm²;;3;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;4;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.729736265;µm;;5;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;209.4329857;µm²;;5;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.4125976411;µm;;5;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;9.672241316;µm²;;5;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;6;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.602783144;µm;;7;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;234.434817;µm²;;7;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.364990221;µm;;7;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;12.94128432;µm²;;7;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;9;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.634521424;µm;;10;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;253.8031033;µm²;;10;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2697753807;µm;;10;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;9.942016709;µm²;;10;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;11;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.809081965;µm;;12;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;288.2470734;µm²;;12;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1269531203;µm;;12;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.078857444;µm²;;12;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;14;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.142333906;µm;;15;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;284.6368439;µm²;;15;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1904296805;µm;;15;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;5.506591856;µm²;;15;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;16;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.697997985;µm;;17;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;261.9757108;µm²;;17;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.2380371006;µm;;17;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;5.689086976;µm²;;17;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;18;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.713867125;µm;;19;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;247.0745876;µm²;;19;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1904296805;µm;;19;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.150268578;µm²;;19;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;20;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.571044864;µm;;21;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Pole otworu;230.1263453;µm²;;21;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1745605405;µm;;21;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Obszar szczytu;1.166381849;µm²;;21;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;22;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.840820245;µm;;23;Tribo2023_2_5_s1 > Profil utworzony z przecięcia;
