C:\Users\Tribo2023_4_4_s1.mnt
2023/07/31;11:13:30

Name;Value;Unit;Context;Frame Number;Studiable name;
Maksymalna głębokość;2.031249925;µm;;27;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;266.8475371;µm²;;27;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;27;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.19836426;µm²;;27;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;28;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.920165945;µm;;29;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;260.0396757;µm²;;29;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.1904296805;µm;;29;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;2.570800809;µm²;;29;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;30;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.586914004;µm;;31;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;250.0262478;µm²;;31;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.3015136608;µm;;31;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;5.006713921;µm²;;31;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;32;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.967773365;µm;;33;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;255.3344754;µm²;;33;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.01586914004;µm;;33;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.007934570398;µm²;;33;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;34;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.745605405;µm;;35;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;280.1300079;µm²;;35;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.06347656017;µm;;35;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.4046630903;µm²;;35;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;36;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.872558525;µm;;37;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;280.5426056;µm²;;37;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0.03173828009;µm;;37;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0.1031494152;µm²;;37;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;38;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;1.824951105;µm;;39;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;304.9969515;µm²;;39;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;39;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;39;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Długość;1.091500052;mm;;40;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna głębokość;2.221679606;µm;;41;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Pole otworu;283.7878449;µm²;;41;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Maksymalna wysokość;0;µm;;41;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
Obszar szczytu;0;µm²;;41;Tribo2023_4_4_s1 > Profil utworzony z przecięcia;
